DATE,RPM
2000-01-01,48263245
2000-02-01,48580127
2000-03-01,59632014
2000-04-01,57636732
2000-05-01,59749900
2000-06-01,64046964
2000-07-01,66435577
2000-08-01,65252958
2000-09-01,55470176
2000-10-01,57979416
2000-11-01,55302968
2000-12-01,54460418
2001-01-01,52049391
2001-02-01,48845243
2001-03-01,60769073
2001-04-01,58479185
2001-05-01,59190930
2001-06-01,63729974
2001-07-01,67144380
2001-08-01,67664023
2001-09-01,38207236
2001-10-01,43609263
2001-11-01,44598156
2001-12-01,47422033
2002-01-01,45699949
2002-02-01,43964813
2002-03-01,56037382
2002-04-01,51993221
2002-05-01,54695480
2002-06-01,59031826
2002-07-01,61965515
2002-08-01,62332762
2002-09-01,48731119
2002-10-01,53268604
2002-11-01,49186629
2002-12-01,55458015
2003-01-01,49830903
2003-02-01,45514803
2003-03-01,54994261
2003-04-01,50304173
2003-05-01,53070727
2003-06-01,58958204
2003-07-01,64470622
2003-08-01,63540849
2003-09-01,51022359
2003-10-01,55549640
2003-11-01,52785625
2003-12-01,57280778
2004-01-01,52332277
2004-02-01,51347537
2004-03-01,61923381
2004-04-01,60744714
2004-05-01,61384009
2004-06-01,67430529
2004-07-01,71593504
2004-08-01,69244299
2004-09-01,56494925
2004-10-01,61743819
2004-11-01,58329543
2004-12-01,61424449
2005-01-01,57936503
2005-02-01,54233804
2005-03-01,68725711
2005-04-01,63817097
2005-05-01,67072652
2005-06-01,71621917
2005-07-01,76041550
2005-08-01,72415556
2005-09-01,60791372
2005-10-01,62624694
2005-11-01,60533679
2005-12-01,63220661
2006-01-01,59828980
2006-02-01,55491266
2006-03-01,69483900
2006-04-01,67122793
2006-05-01,68435521
2006-06-01,73147256
2006-07-01,76711219
2006-08-01,73076758
2006-09-01,61249897
2006-10-01,65091487
2006-11-01,62637778
2006-12-01,65157505
2007-01-01,61896193
2007-02-01,56914815
2007-03-01,71497177
2007-04-01,68813909
2007-05-01,70947617
2007-06-01,75914661
2007-07-01,79865223
2007-08-01,78314560
2007-09-01,64781658
2007-10-01,68397379
2007-11-01,65333114
2007-12-01,66764862
2008-01-01,63504217
2008-02-01,60578995
2008-03-01,73427185
2008-04-01,67956166
2008-05-01,71791924
2008-06-01,75301714
2008-07-01,78772769
2008-08-01,76359814
2008-09-01,60292068
2008-10-01,64011438
2008-11-01,57684017
2008-12-01,62697156
2009-01-01,57424037
2009-02-01,52712775
2009-03-01,65147741
2009-04-01,64352894
2009-05-01,65015083
2009-06-01,70562995
2009-07-01,76201891
2009-08-01,73607921
2009-09-01,60512481
2009-10-01,63325757
2009-11-01,58170882
2009-12-01,62377082
2010-01-01,58655574
2010-02-01,52438942
2010-03-01,67304853
2010-04-01,64062751
2010-05-01,67970934
2010-06-01,73591283
2010-07-01,78192819
2010-08-01,75714090
2010-09-01,64494149
2010-10-01,68199554
2010-11-01,62471217
2010-12-01,64946702
2011-01-01,60720980
2011-02-01,54492725
2011-03-01,69104312
2011-04-01,66733086
2011-05-01,70797151
2011-06-01,75121815
2011-07-01,80361588
2011-08-01,76193082
2011-09-01,65499304
2011-10-01,67300832
2011-11-01,62528875
2011-12-01,65500668
2012-01-01,61076689
2012-02-01,57448037
2012-03-01,70799480
2012-04-01,67807033
2012-05-01,71155609
2012-06-01,76014162
2012-07-01,79640786
2012-08-01,77738861
2012-09-01,65230938
2012-10-01,66974008
2012-11-01,63372211
2012-12-01,65923928
2013-01-01,62433674
2013-02-01,57526656
2013-03-01,72164048
2013-04-01,67827983
2013-05-01,72981718
2013-06-01,77865105
2013-07-01,81268540
2013-08-01,79332043
2013-09-01,66575979
2013-10-01,69054445
2013-11-01,63029552
2013-12-01,70372528
2014-01-01,64075229
2014-02-01,57888205
2014-03-01,73637965
2014-04-01,70715384
2014-05-01,75191291
