"","country","day","international_departures","international_arrivals","United Kingdom","UK"
"1","United Kingdom",2020-01-23,1396,1379,0,0
"2","United Kingdom",2020-01-24,1565,1536,0,0
"3","United Kingdom",2020-01-25,1287,1285,0,0
"4","United Kingdom",2020-01-26,1383,1415,0,0
"5","United Kingdom",2020-01-27,1447,1442,0,0
"6","United Kingdom",2020-01-28,1172,1190,0,0
"7","United Kingdom",2020-01-29,1202,1207,0,0
"8","United Kingdom",2020-01-30,1367,1379,0,0
"9","United Kingdom",2020-01-31,1457,1488,2,2
"10","United Kingdom",2020-02-01,1339,1337,2,0
"11","United Kingdom",2020-02-02,1534,1548,2,0
"12","United Kingdom",2020-02-03,1533,1538,8,6
"13","United Kingdom",2020-02-04,1349,1338,8,0
"14","United Kingdom",2020-02-05,1344,1350,9,1
"15","United Kingdom",2020-02-06,1481,1503,9,0
"16","United Kingdom",2020-02-07,1717,1666,9,0
"17","United Kingdom",2020-02-08,1463,1445,13,4
"18","United Kingdom",2020-02-09,1081,991,14,1
"19","United Kingdom",2020-02-10,1492,1615,14,0
"20","United Kingdom",2020-02-11,1397,1366,15,1
"21","United Kingdom",2020-02-12,1392,1438,16,1
"22","United Kingdom",2020-02-13,1638,1574,17,1
"23","United Kingdom",2020-02-14,1824,1786,18,1
"24","United Kingdom",2020-02-15,1388,1389,18,0
"25","United Kingdom",2020-02-16,1548,1552,18,0
"26","United Kingdom",2020-02-17,1683,1658,19,1
"27","United Kingdom",2020-02-18,1487,1469,19,0
"28","United Kingdom",2020-02-19,1470,1450,20,1
"29","United Kingdom",2020-02-20,1631,1552,22,2
"30","United Kingdom",2020-02-21,1772,1776,23,1
"31","United Kingdom",2020-02-22,1623,1606,23,0
"32","United Kingdom",2020-02-23,1825,1782,28,5
"33","United Kingdom",2020-02-24,1761,1702,30,2
"34","United Kingdom",2020-02-25,1541,1489,34,4
"35","United Kingdom",2020-02-26,1507,1462,37,3
"36","United Kingdom",2020-02-27,1636,1609,44,7
"37","United Kingdom",2020-02-28,1764,1733,56,12
"38","United Kingdom",2020-02-29,1520,1457,61,5
"39","United Kingdom",2020-03-01,1716,1677,94,33
"40","United Kingdom",2020-03-02,1663,1650,134,40
"41","United Kingdom",2020-03-03,1483,1490,189,55
"42","United Kingdom",2020-03-04,1458,1430,246,57
"43","United Kingdom",2020-03-05,1633,1540,295,49
"44","United Kingdom",2020-03-06,1719,1705,374,79
"45","United Kingdom",2020-03-07,1503,1439,429,55
"46","United Kingdom",2020-03-08,1688,1671,483,54
"47","United Kingdom",2020-03-09,1705,1651,630,147
"48","United Kingdom",2020-03-10,1403,1410,889,259
"49","United Kingdom",2020-03-11,1358,1341,1301,412
"50","United Kingdom",2020-03-12,1528,1535,1790,489
"51","United Kingdom",2020-03-13,1673,1642,2270,480
"52","United Kingdom",2020-03-14,1421,1347,2634,364
"53","United Kingdom",2020-03-15,1471,1486,3077,443
"54","United Kingdom",2020-03-16,1360,1368,3692,615
"55","United Kingdom",2020-03-17,1005,1026,4462,770
"56","United Kingdom",2020-03-18,917,925,5468,1006
"57","United Kingdom",2020-03-19,896,940,6534,1066
"58","United Kingdom",2020-03-20,920,898,7792,1258
"59","United Kingdom",2020-03-21,587,570,9007,1215
"60","United Kingdom",2020-03-22,594,589,10395,1388
"61","United Kingdom",2020-03-23,456,456,12744,2349
"62","United Kingdom",2020-03-24,386,390,15126,2382
"63","United Kingdom",2020-03-25,310,302,17843,2717
"64","United Kingdom",2020-03-26,320,311,20970,3127
"65","United Kingdom",2020-03-27,299,316,24219,3249
"66","United Kingdom",2020-03-28,239,221,27062,2843
"67","United Kingdom",2020-03-29,231,242,29954,2892
"68","United Kingdom",2020-03-30,197,185,34281,4327
