"","each_day_US"
"1/22/20",1
"1/23/20",1
"1/24/20",2
"1/25/20",2
"1/26/20",5
"1/27/20",5
"1/28/20",5
"1/29/20",6
"1/30/20",6
"1/31/20",8
"2/1/20",8
"2/2/20",8
"2/3/20",11
"2/4/20",11
"2/5/20",11
"2/6/20",12
"2/7/20",12
"2/8/20",12
"2/9/20",12
"2/10/20",12
"2/11/20",13
"2/12/20",13
"2/13/20",14
"2/14/20",14
"2/15/20",14
"2/16/20",14
"2/17/20",15
"2/18/20",16
"2/19/20",16
"2/20/20",16
"2/21/20",16
"2/22/20",16
"2/23/20",16
"2/24/20",17
"2/25/20",18
"2/26/20",19
"2/27/20",19
"2/28/20",19
"2/29/20",26
"3/1/20",39
"3/2/20",57
"3/3/20",79
"3/4/20",113
"3/5/20",184
"3/6/20",247
"3/7/20",417
"3/8/20",538
"3/9/20",630
"3/10/20",797
"3/11/20",1156
"3/12/20",1596
"3/13/20",2222
"3/14/20",2952
"3/15/20",3234
"3/16/20",4667
"3/17/20",6450
"3/18/20",9156
"3/19/20",13663
"3/20/20",20064
"3/21/20",26056
"3/22/20",34944
"3/23/20",46096
"3/24/20",56714
"3/25/20",68841
"3/26/20",86662
"3/27/20",105253
"3/28/20",127417
"3/29/20",143544
"3/30/20",165698
"3/31/20",192079
"4/1/20",223531
"4/2/20",255619
"4/3/20",287823
"4/4/20",319714
"4/5/20",348956
"4/6/20",380685
"4/7/20",410750
"4/8/20",441828
"4/9/20",477439
"4/10/20",511778
"4/11/20",540651
"4/12/20",567102
"4/13/20",594143
"4/14/20",622492
"4/15/20",648122
"4/16/20",677791
"4/17/20",710585
"4/18/20",738145
"4/19/20",763786
"4/20/20",793812
"4/21/20",819739
"4/22/20",849125
"4/23/20",881502
"4/24/20",913444
"4/25/20",944509
"4/26/20",970648
"4/27/20",995277
"4/28/20",1019718
"4/29/20",1046323
"4/30/20",1075384
"5/1/20",1110657
"5/2/20",1137961
"5/3/20",1161844
"5/4/20",1185724
"5/5/20",1209657
"5/6/20",1234136
"5/7/20",1261636
"5/8/20",1288983
"5/9/20",1313531
"5/10/20",1332248
"5/11/20",1351304
"5/12/20",1374532
"5/13/20",1394493
"5/14/20",1420465
"5/15/20",1445346
"5/16/20",1469473
"5/17/20",1487848
"5/18/20",1510438
"5/19/20",1530989
"5/20/20",1553557
"5/21/20",1578936
"5/22/20",1602847
"5/23/20",1623003
"5/24/20",1643184
"5/25/20",1662107
"5/26/20",1680788
"5/27/20",1699701
"5/28/20",1720769
"5/29/20",1746010
"5/30/20",1769149
"5/31/20",1787437
"6/1/20",1804696
"6/2/20",1825905
"6/3/20",1845204
"6/4/20",1873255
